"article_title","author","journal","citations","year"
"Policy implications of Greenhouse Warming: Report of the adaptation panel","PE Waggoner, J Ausubel, C Binkley, MM Kritz, J Lederberg, W Lewis, ...","National Research Council, Washington, DC (United States), 1991","","1991"
"Policy forum: economic aspects of global warming.","WR Cline, WD Nordhaus, D Pearce","Economic Journal, 1991","","1991"
"10 YEARS OF T-DISCUSSION","C BEAN, R GORDON, R HALL, M SHAPIRO, J CAMPBELL, ...","NBER MACROECONOMICS ANNUAL 4, 71-72, 1989","","1989"
"10 YEARS OF T-COMMENT","WD NORDHAUS","NBER MACROECONOMICS ANNUAL 4, 61-67, 1989","","1989"
"RECENT TRENDS IN UNITED-STATES EARNINGS AND FAMILY INCOMES-DISCUSSION","R HALL, R GORDON, W NORDHAUS, M BILS","NBER MACROECONOMICS ANNUAL 4, 119-120, 1989","","1989"
"Robert B. Gordon, Tjalling C. Koopmans, William D. Nordhaus, and Brian J. Skinner, Toward a New Iron Age""? Quantitative Modeling of Resource Exhaustion (Book Review)","SF Singer","Technology and Culture 29 (4), 974, 1988","","1988"
"WORLD MINERAL EXPLORATION-TRENDS AND ECONOMIC-ISSUES-TILTON, JE, EGGERT, RG, LANDSBERG, HH","LB LAVE","ISSUES IN SCIENCE AND TECHNOLOGY 5 (1), 108-109, 1988","","1988"
"Toward a New Iron Age: Quantitative Modeling of Resource Exhaustion","D ROBYN","Issues in Science and Technology 4 (3), 108-108, 1988","","1988"
"Economia, XII ed.","L Resmini","Giornale degli Economisti e Annali di Economia 46 (9/10), 549-549, 1987","","1987"
"Keeping kosher: the epistemology of tax expenditures","R Rose, T Karran, R Rose, T Karran, H Aaron, JE Alt, JE Alt, S Anson, ...","Taxation by Political Inertia: Financing the Growth of Government in Britain …, 1987","","1987"
"Current issues in atmospheric change: summary and conclusions of a workshop, October 30-31, 1986","WD Nordhaus","Workshop on Atmospheric Change, Washington, DC (USA), 1986, 1987","","1987"
"Current Issues in Atmospheric Change: Summary of a Workshop, October 30-31, 1986","WD Nordhaus","National Academies, 1987","","1987"
"THE SHARE ECONOMY-A SYMPOSIUM-DISCUSSION 2","S WINTER, W NORDHAUS, J TOBIN, M SHAPIRO, J TRACY, G DOW, ...","JOURNAL OF COMPARATIVE ECONOMICS 10 (4), 464-468, 1986","","1986"
"‘A geometrical analysis of the incentives for default and credit rationing’by Daniel Cohen and Jeffrey Sachs","WD Nordhaus","European Economic Review 30 (3), 561-564, 1986","","1986"
"Divorce, marital happiness and the mental health of children: Findings from the FCD national survey of children","BN Adams, Burr, F Arnold, R Bulatao, C Buripakdi, B Chung, J Fawcett, ...","Households, Employment, and Gender: A Social, Economic, and Demographic View …, 1986","","1986"
"Comments on Mendeloff's"" Regulatory Reform and OSHA Policy""","RE Litan, WD Nordhaus","Journal of Policy Analysis and Management 5 (3), 476-481, 1986","","1986"
"REGULATORY REFORM AND OSHA POLICY-COMMENTS","RE LITAN, WD NORDHAUS","JOURNAL OF POLICY ANALYSIS AND MANAGEMENT 5 (3), 476-481, 1986","","1986"
"American Economic Association","CP Kindleberger","The American Economic Review 76 (1), 1-13, 1986","","1986"
"The Share Economy: A Symposium","J Andrew, WD Nordhaus","Cowles Foundation Discussion Papers, 1986","","1986"
"A Social Science Forum of World Issues","AM Costa, EG Adams, I Adelman, M Augustinovics, S Chakravarty, ...","Journal of 8 (1), 1986","","1986"
"ALTERNATIVE PATHS TO REGULATORY REFORM","WD Nordhaus","Forging new relationships among business, labor, and government 56, 59, 1986","","1986"
"The problem of market failure","J Rees, M Abrams, JGU Adams, JGU Adams, A Agarwal, J Ahmed, ...","Natural Resources: Allocation, Economics and Policy 4 (1), 1-11, 1985","","1985"
"‘International coordination in the design of macroeconomic policies’ by John B. Taylor","W Nordhaus","European Economic Review 28 (1-2), 89-92, 1985","","1985"
"Reforming Federal Regulation","MS Pulliam","American Bar Association Journal 69 (11), 1724-1724, 1983","","1983"
"Economic Policy in the Face of Declining Productivity","WD Nordhaus","Cowles Foundation for Research in Economics at Yale University, 1983","","1983"
"Note: Cowles Foundation Discussion Papers are preliminary","WD Nordhaus, S Durlauf","","","1982"
"B_. Pl LA_  _H!. I1.. I-11. EB. § ; R. 41. Z_E 111.2%. Q; l. 1.'J-_ _.¢ 0H!*! 0N5?","W Nordhaus","","","1982"
"“AT YALE UNIVERSITY","WD Nordhaus","","","1981"
"The Efficient Use of Energy Resources. Cowles Foundation for Research in Economics at Yale University, Monograph 26","RW Gilmer","American Scientist 68 (4), 444-445, 1980","","1980"
"Industrial Pricing in the United Kingdom","C Dell'Aringa","Rivista Internazionale di Scienze Sociali 88 (3/4), 507-509, 1980","","1980"
"Industrial Pricing in the United Kingdom","F Silva","Giornale degli Economisti e Annali di Economia 38 (5/6), 430-432, 1979","","1979"
"Consumer's Surplus Without Apology","RA Marshalla, MA Adelman, RC Amacher, RJ Sweeney, K Anderson, ...","An Analysis of Cartelized Market Structures for Nonrenewable Resources 16 (2 …, 1979","","1979"
"Basic Theoretical Issues of Resource Depletion","PC Garg, M Abramovitz, K Anderson, KJ Arrow, M Kurz, HJ Barnett, ...","Optimal Economic Growth with Exhaustible Resources 2 (1), 1-9, 1979","","1979"
"The optimal consumption of depletable natural resources","R Marks, AA Alchian, ES Phelps, KJ Arrow, M Abramovitz, RJ Barro, ...","Non-Renewable Resources and Disequilibrium Macrodynamics 61, 1-13, 1979","","1979"
"Growth and Inflation: Analysis by Industry. Discussion","W Nordhaus, M Wachter, J Duesenberry, J Norsworthy, R Gordon, ...","Brookings Papers on Economic Activity 1979 (1), 256-257, 1979","","1979"
"Welfare Measures for Regional Policies","WD Nordhaus","Explorations in Economic Research, Volume 4, number 3 (New Directions in …, 1977","","1977"
"J. Introduction","W Nordhaus, L van der Heyden","","","1977"
"Cowles Foundation Discussion Papers are preliminary","W Nordhaus, L van der Heyden","","","1977"
"Box 2125, Yale Station New Haven, Connecticut 06520","WD Nordhaus","","","1977"
"Energy demand. Proceedings of the workshop held in Schloss Laxenburg, Austria, May 22-23, 1975","WD Nordhaus","","","1976"
"Proceedings of the Workshop on Energy Demand, May 22-23, 1975","WD Nordhaus","International Institute for Applied Systems Analysis 76 (1), 1976","","1976"
"Box 2125, Yale Station.-_","WD Nordhaus","","","1975"
"Box 2125, Yale statlcn.-_","WD Nordhaus","","","1975"
"Mental Maps: Without Spaghetti They are Baloney","WD Nordhaus","WP-75-044, 1975","","1975"
"Joseph E. Stiglitz","P Dasgupta, P Hammond, A Klevorick, W Nordhaus","Symposium on the economics of exhaustible resources, 139, 1974","","1974"
"Economic Growth: Colloquium","J Tobin, WD Nordhaus","Columbia University Press, 1972","","1972"
"Invention, Growth, and Welfare. A Theoretical Treatment of Technological Change","JP Vignau","Revue d'économie politique 81 (4), 640-641, 1971","","1971"
"Developments in Price Dynamics","WD Nordhaus","The Econometrics of Price Determinitation Conference, October 30-31, 1970, 16, 1971","","1971"
"Productivity measurement issues in services industries: Baumol's disease has been cured.","Z Dequan, D Yunlong, PS Albin, WJ Baumol, WJ Baumol, SAB Blackman, ...","Journal of Applied Sciences 14 (5), 70-84, 1970","","1970"
"SECOND-ORDER CONSEQUENCES-BAUER, RA","WD NORDHAUS","JOURNAL OF ECONOMIC LITERATURE 8 (3), 864-867, 1970","","1970"
"FACTORS IN TRANSFER OF TECHNOLOGY-GRUBER, WH AND MARQUIS, DG","WD NORDHAUS","JOURNAL OF ECONOMIC LITERATURE 8 (3), 864-867, 1970","","1970"
"TE oPTIMAL LIFE oF A PA","WD Nordhaus","","","1967"
"THE 0mm LIFE or A PATENT","WD Nordhaus","","","1967"
"nm OPTIMAL LITE or A 1> An: 1n","WD Nordhaus","","","1967"
"Os processos de crescimento económico","PA Samuelson, WD Nordhaus","","",""
"Soybeans: state-level production costs, characteristics, and input use, 1990/Mir B. Ali, William D. McBride.","MBI Ali, D William","Statistical bulletin; 873, 0","",""
"The New York Review Of Books Volume 55, Number 14· September 25, 2008","WD Nordhaus, L Sullivan, D Zenghelis","","",""
"3.1. 2 Fachgebiet Volkswirtschaftslehre","H Bartling, F Luzius, RS Pindyck, DL Rubinfeld, P Samuelson, ...","Modulhandbuch des Studiengangs, 21, 0","",""
"Economía/por Paul A. Samuelson [y otros].","PAN Samuelson, D William","","",""
"ECONOMIA/PAUL A. SAMUELSON Y WILLIAM D. NORDHAUS.","PAN SAMULESON, D WILLIAM","","",""
"Microeconomics/Paul A. Samuelson, William D. Nordhaus.","PAI Samuelson, D William","The McGraw-Hill series in economics, 0","",""
"Antonio Maria Costa","I Adelman, D Salvatore, FG Adams, M Augusztinovics, S Ichimura, ...","","",""
"Policu Modeling","FG Adams, I Adelman, M Augusztinovics, S Chakravarty, AM Costa, ...","","",""
"A Social Science Forum of World Issues","FG Adams, I Adelman, M Augustinovics, J Bhagwati, HC Bos, H Chenery, ...","","",""
"Antonio Maria Costa","D Salvatore, GB de Macedo, J Bhagwati, S Ichimura, R Dorfman, ...","","",""
"A Social Science Forum of World Issues","E Westphal, J Bhaffwatl, W Nordhaus","","",""
"Policy and Global Affairs","WD Nordhaus, SA Merrill, PT Beaton","","",""
"Programa del curso","IÁP Vargas","","",""
"Alternatives jor Debt Management","WD NORDHAUS, HC WALLICH","","",""
"and Policy","VI Summer2014, CD Kolstad, KJ Arrow, ML Cropper, C Gollier, B Groom, ...","","",""
"eview of Environmental Economics and Policy","ML Cropper, C Gollier, B Groom, GM Heal, RG Newell, WD Nordhaus, ...","","",""
"Límites al crecimiento del salario en la posconvertibilidad: 2005-2010","S Mandirola","Realidad económica. no. 285 (2014), 0","",""
"Alejandro Bunge: intelectual orgánico o agorero de un modelo en decadencia? transición a la industrialización","D Rozengardt","Realidad económicano. 282 (2014), 0","",""
"Descriptores: ECONOMIA.","PA Samuelson, W Nordhaus, E Rabasco","","",""
"Climate change: issues and policies","RB Alley, J Marotzke, WD Nordhaus, JT Overpeck, DM Peteet, ...","Global Environmental Change 12 (1), 41-51, 0","",""
"The challenge of achieving participation and compliance","C Fischer, W Nordhaus, S Rubio, S Shelton, S Kortum","","",""
"We Will If You Will","DJC MacKay, R Cooper, J Stiglitz, W Nordhaus, ML Weitzman, ...","","",""
"Arctic System Science (ARCSS) Program Synthesis Retreat Annotated Bibliography of Background Readings","RB Alley, J Marotzke, WD Nordhaus, JT Overpeck, DM Peteet, ...","Quaternary Science Reviews 20, 189-202, 0","",""
"A. Latar Belakang Masalah","PA Samuelson, WD Nordhaus","","",""
"Economics Fundamentals: Microeconomics","R Samuelson, W Nordhaus","","",""
"Zakres materialu do egzaminu wstepnego","PA Samuelson, WD Nordhaus","","",""
"Case Readings on Public Management","PA Samuelson, WD Nordhaus","Policy 15, 20, 0","",""
"innováció A nevelésügyben","PA Samuelson, WD Nordhaus, PF Drucker","","",""
"Egzamin na studia drugiego stopnia stacjonarne jest egzaminem pisemnym sprawdzajacym kompetencje niezbedne do realizacji studiów magisterskich na danym kierunku. Egzamin ma …","PA Samuelson, WD Nordhaus","","",""
"A Journal of Resource, Energy and Environmental Economics","M HOEL, CD KOLSTAD, MA ADELMAN, L BERGMAN, E BERNDT, ...","","",""
"G-ECON","W Nordhaus","","",""
"to Living Standards ‘","WD Nordhaus","","",""
"Economics Department Working Paper Series","KJ Arrow, ML Cropper, C Gollier, B Groom, GM Heal, RG Newell, ...","","",""
"February 19, 2010","N Muller, R Mendelsohn, W Nordhaus","","",""
"viable one. Hixson is a retired businessman and engineer who has had articles published in the Eastern Economic Journal and The History of Economics Society Bulletin.","JTWC Brainard, WD Nordhaus","","",""
"Professor Morris Adelman","A Ayoub, L Bergman, L Brookes, J Chesshire, D Hawdon, G Heal, ...","","",""
"A Journal of Resource, Energy and Environmental Economics","CD KOLSTAD, MA ADELMAN, L BERGMAN, E BERNDT, P BOHM, ...","","",""
"Debunk House","WD Nordhaus","","",""
"Archive for the ‘Climate Science’Category","WD Nordhaus","","",""
"Cowles Foundation Paper 80","WD Nordhaus","","",""
"C. KOLSTAD","W NORDHAUS, D PEARCE, P PORTNEY, A ROSE, G ROTHWELL, ...","","",""
"Concept of Sustainable","WD Nordhaus","","",""
"Archive for the ‘WUWT’Category","WD Nordhaus","","",""
"of Climate Change","WD Nordhaus","","",""
"Former title: Resources~ nd Energy","CD KOLSTAD, MA ADELMAN, L BERGMAN, E BERNDT, G HEAL, ...","","",""
"A Journal of Resource, Energy and Environmental Economics","S SMULDERS, MA ADELMAN, L BERGMAN, P BOHM, F FØRSUND, ...","","",""
"RESOURCE ANDENERGYECONOMICS","CD KOLSTAD, MA ADELMAN, L BERGMAN, E BERNDT, A FISHER, ...","","",""
